firm_name	source_page	confidence	notes
B·C·D Consulting	commercial-p42	high	OCR: RCD t. eee Vira
Iron Bridge Consulting	commercial-p42	high	
David J. Spector & Associates	commercial-p42	high	OCR: DAVID]. / SPECTORS
M Z A Architecture	commercial-p42	high	Spaced letters on black bar
Cetraruddy	commercial-p42	high	
Kanter	commercial-p42	medium	Script signature; OCR Kartun/KARIM — see README
swa architecture	commercial-p42	high	Black square mark
CMS Architecture and Design	commercial-p42	high	
Richard H. Lewis Architect	commercial-p42	high	
Snarkitecture	commercial-p42	high	
Tersigni Palachek	commercial-p42	high	OCR: Tonseetina — ASSOCIATES nuns
bluarch	commercial-p42	high	Lowercase wordmark; Antonio Di Oronzo firm
Barlis Wedlick	commercial-p42	high	
Celano design studio	commercial-p42	high	OCR: CELANO ii cust Hosp
TRUST3 HOSPITALITY	commercial-p42	high	TM on page
Alexander Waterworth Interiors	commercial-p42	high	OCR mangled ALEXANDER WATERW ORTH INTERIORS
BANG³	commercial-p42	high	Superscript 3 in frame
Aviva Collective	commercial-p42	high	
FURY	commercial-p42	high	
Tree House Design	commercial-p42	high	OCR: TREE HOUSE DESIGN / Fury conflation
studioMDA	commercial-p42	high	OCR: studioMDA Lynch merge
Studio Tractor Architecture	commercial-p42	high	
Lynch/Eisinger/Design	commercial-p42	high	
David A. Levy & Associates	commercial-p42	high	
NDNY Architecture + Design	commercial-p42	high	OCR: NDNY Architecture + Design LG JA garble
LG.JA	commercial-p42	high	
David Bae Architect	commercial-p42	high	
ICRAVE	commercial-p42	high	OCR: IQRAVE
Present Architecture	commercial-p42	high	OCR: PRESENT ARCHITECTURE ———SRAA+E merge
SRAA+E Architecture + Engineering, P.C.	commercial-p42	high	OCR: SRAA+E / SRAATE variants
