Streamline USA — Competitor & Inspiration Research				
Company	Website	Category	Focus / Notes	Inspiration Value
NYC DIRECT COMPETITORS				
Structure NYC	structure-nyc.com	NYC Competitor	Luxury renovations & interior construction in Manhattan; custom millwork division. Good benchmark for tone and positioning.	Brand tone & positioning
MagnaPro Construction	magnaprocnst.com	NYC Competitor	High-end residential + commercial. Worth checking for how they organize services and project galleries.	Services layout & gallery structure
Gallery KBNY	gallerykbny.com	NYC Competitor	Manhattan luxury renovations. Strong project case study structure.	Project case study format
West Village GC	westvillagegc.com	NYC Competitor	Clean, upscale residential focus.	Residential market positioning
THIS Co.	this-co.com	NYC Competitor	One of the top high-end construction companies in NYC; minimal branding.	Minimal luxury branding
Selldorf Architects	selldorf.com	Design Inspiration	Uses restraint and elegant typography; muted palette and generous negative space creates a gallery-like environment. Refined, editorial feel.	Editorial aesthetic & whitespace
BROADER DESIGN INSPIRATION				
Andre Architecture	andrearchitecture.com	Design Inspiration	Refined visual storytelling — clean modern layout, elegant typography, high-resolution imagery, striking logo animation. Luxurious and precise.	Logo animation & visual storytelling
Ingrao Inc.	ingraoinc.com	Design Inspiration	Large-scale visuals, clean grid, smooth scrolling makes every project feel like an editorial feature — restrained and rich.	Grid layout & scroll experience
Awwwards Architecture Gallery	awwwards.com/websites/architecture	Design Inspiration	Curated list of the most design-forward architecture sites globally. Great ongoing reference.	Broad inspiration resource
