ocr_string	corrected	deck	page	confidence
PROGORE	Procore	commercial	3	high
Streamline USA v2.0 runs on PROGORE	Streamline USA v2.0 runs on Procore	commercial	3	high
Our premium "action over coverage" GL policy	Our 10 million dollar GL insurance policy	commercial	3	high
Our 10 million dollar GL insurance policy can qualify us to work in almost every building in the city and 5 boros.	Our 10 million dollar GL insurance policy can qualify us to work in almost every building in the city and 5 boros.	commercial	3	high
We can provide pricing for most projects in 7 working days.	We can provide pricing for most projects in 7 working days.	commercial	3	high
We have our own IN HOUSE millwork shop and team of carpenters & finishers.	We have our own IN HOUSE millwork shop and team of carpenters & finishers.	commercial	3	high
Design Build Millwork	Design Build / Millwork (two list items)	commercial	3	high
General Contracting	General Contracting	commercial	3	high
Construction Management	Construction Management	commercial	3	high
Design Build	Design Build	commercial	3	high
Millwork	Millwork	commercial	3	high
Carpentry & Finished Carpentry	Carpentry & Finished Carpentry	commercial	3	high
Pre-Construction Planning and Budgeting	Pre-Construction Planning and Budgeting	commercial	3	high
We can bid your project as the General Contractor or as Construction Manager.	We can bid your project as the General Contractor or as Construction Manager.	commercial	3	high
We specialize in fast paced schedules and high end interior finishes.	We specialize in fast paced schedules and high end interior finishes.	commercial	3	high
We know what it takes to bring in a project on time and on budget.	We know what it takes to bring in a project on time and on budget.	commercial	3	high
LET BUILD YOUR NEXT PROJECT	Let us build your next project.	commercial	43	high
LET US BUILD YOUR NEXT PROJECT	Let us build your next project.	commercial	43	high
ERIC ORTENSE / CHIEF EXECUTIVE OFFICER	Eric Ortense — Chief Executive Officer	commercial	2	high
LIAM TREANOR / CHIEF OPERATING OFFICER	Liam Treanor — Chief Operating Officer	commercial	2	high
RCD t. eee Vira	B·C·D Consulting	commercial	42	high
Tonseetina — ASSOCIATES nuns	Tersigni Palachek	commercial	42	high
CELANO ii cust Hosp	Celano design studio	commercial	42	high
IQRAVE PRESENT ARCHITECTURE ———SRAA+E	ICRAVE / Present Architecture / SRAA+E Architecture + Engineering, P.C.	commercial	42	medium
COLOMBUS CIRCLE MALL - BAD ROMAN RESTAURANT	COLUMBUS CIRCLE MALL - BAD ROMAN RESTAURANT	commercial	4	high
TIMES SQUARE - ciara	TIMES SQUARE - BOQUERIA	commercial	11	high
Streamiline's Role: Construction Manager	Streamline's Role: Construction Manager	commercial	13	medium
UPPER CENTRAL PARK EAST- 5TH AVENUE APARTMENT	UPPER CENTRAL PARK EAST - 5TH AVENUE APARTMENT	residential	14	high
Sth Avenue stunneris nothing short of	5th Avenue stunner is nothing short of	residential	14	high
The Pierre Hotel has its residencies	The Pierre Hotel has its residencies	residential	14	high
CHELSEA - W18TH STREET LANTERN HOUSE	CHELSEA - W18TH STREET LANTERN HOUSE	residential	16	high
PHO with rooftop deck	PH10 with rooftop deck	residential	16	high
Designer Catalina Castaneo interiors.	Designed by: Catalina Castaneo interiors.	residential	16	medium
WEST VILLAGE - TITH AVENUE APARTMENT	WEST VILLAGE - 11TH AVENUE APARTMENT	residential	28	high
Architecure & Design by: Catra Ruddy	Architecture & Design by: CetraRuddy	residential	28	high
Stroamlino's Role: General Contractor	Streamline's Role: General Contractor	residential	10	high
Designed by: Irene Poppos	Designed by: Irene Pappas	residential	10	high
Streamiline's Role: General Contractor	Streamline's Role: General Contractor	residential	6	high
8 bedroom 8 bathroom apartment	3 bedroom 3 bathroom apartment	residential	31	high
92 Laight St was a turn of the century building until it was modernized. This 8 bedroom 8 bathroom apartment	92 Laight St was a turn of the century building until it was modernized. This 3 bedroom 3 bathroom apartment	residential	31	high
Designed by: Virgina Tupker	Designed by: Virgina Tupker	residential	4	high
ANTONIO DI ORONZO / FOUNDER AND PRINCIPAL, BLUARCH	Antonio Di Oronzo — Founder and Principal, Bluarch	workbook-testimonials	n/a	high
DiOronzo (inventory variant)	Antonio Di Oronzo — conflict: workbook uses spaced Di Oronzo; flag inventory DiOronzo	workbook-testimonials	n/a	medium
