ID	Order	Title	Location	Size (Sq. Ft)	Role	Designed By	Architecture by	Categories	Permalink	Image Featured	Slug
433	3	Grand Ole Opry City Stage	Times Square	22000	Construction Manager	SWA Architecture, Morris Nathanson Interior Design		Commercial	https://www.streamlineusa.com/commercial/grand-ole-opry-city-stage/	http://www.streamlineusa.com/wp-content/uploads/2019/12/OPRY1.jpg	grand-ole-opry-city-stage
436	2	Sugarcane Raw Bar And Grill	Brooklyn	12500	General Contractor + Millwork	CetraRuddy Design	Lawrence Jones Architecture	Commercial	https://www.streamlineusa.com/commercial/sugar-cane-raw-bar-and-grill/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Sugarcane-Featured.jpg	sugar-cane-raw-bar-and-grill
439	1	Boqueria Restaurant	Midtown	10500	General Contractor	Studio Razavi		Commercial	https://www.streamlineusa.com/commercial/boqueria-restaurant/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg	boqueria-restaurant
443	13	Mint Kitchen Restaurant	West Village	4000	General Contractor	Creme	MZA Architecture	Commercial	https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-11-scaled.jpg	mint-kitchen-restaurant
491	8	Kat & Theo	Flatiron District	2300	General Contractor + Millwork	Aviva Collective		Commercial	https://www.streamlineusa.com/commercial/kat-theo/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.15-PM.jpg	kat-theo
494	14	ViVVI Daycare Tribeca	Tribeca	10000	General Contractor	eleven of eleven architecture		Commercial	https://www.streamlineusa.com/commercial/vivvi-daycare-tribeca/	http://www.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN11-scaled.jpg	vivvi-daycare-tribeca
503	21	Free People Retail Store	Meatpacking District	7000	Carpentry + Finishes	David Levy Architecture		Commercial	https://www.streamlineusa.com/commercial/free-people-retail-store/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Free-People-Updated-Featured.jpg	free-people-retail-store
506	4	Spring Studios, Spring Place	Tribeca	15000	General Contractor	Bluarch Architecture and Design		Commercial	https://www.streamlineusa.com/commercial/spring-studios-spring-place/	http://www.streamlineusa.com/wp-content/uploads/2019/12/SP2020_3.png	spring-studios-spring-place
509	9	Burger & Lobster	Bryant Park	8500	General Contractor + Millwork	MZA Architecture		Commercial	https://www.streamlineusa.com/commercial/burger-lobster/	http://www.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg	burger-lobster
512	10	Momofuku KO	Bowery	4500	General Contractor	Richard Lewis Architecture		Commercial	https://www.streamlineusa.com/commercial/momofuku-ko/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Momofuku-Featured.jpg	momofuku-ko
517	5	Hudson Street Penthouse	Tribeca	3500	Millwork + Finishes	Alex may		Residential	https://www.streamlineusa.com/residential/hudson-street-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Hudson-Featured-1.jpg	hudson-street-penthouse
520	14	Tribeca Loft	Tribeca	2500	Millwork + Finishes	Bore		Residential	https://www.streamlineusa.com/residential/tribeca-loft/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Tribeca-Loft-Featured-scaled.jpg	tribeca-loft
523	13	Madison Ave Duplex	Murray Hill	3400	General Contractor + Millwork	Lynch Eisinger Design		Residential	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	http://www.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3.jpg	madison-ave-duplex-2
527	21	1st Ave Apartment	Murray Hill	2000	General Contractor + Millwork	SWA Architecture	SWA Architecture	Residential	https://www.streamlineusa.com/residential/1st-ave-apt/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg	1st-ave-apt
531	4	St. Lukes Place townhouse	West Village	5500	General Contractor	Barlis Wedlick	Barlis Wedlick	Residential	https://www.streamlineusa.com/residential/st-lukes-place-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/1-1.jpg	st-lukes-place-townhouse
534	20	Thompson St. Studio	SOHO	600	General Contractor + Millwork	SWA Architecture		Residential	https://www.streamlineusa.com/residential/thompson-st-studio/	http://www.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO-Featured-scaled.jpg	thompson-st-studio
537	11	West 23rd St. Townhouse	Chelsea	2200	General Contractor + Millwork	Tersigni Palachek Design	Tersigni Palachek Design	Residential	https://www.streamlineusa.com/residential/west-23rd-townhouse-2/	http://www.streamlineusa.com/wp-content/uploads/2019/12/W23-Featured.jpg.png	west-23rd-townhouse-2
540	15	e63rd st Penthouse	Lenox Hill	1700	General Contractor + Millwork	Jennifer Aderholdt Design	SWA Architecture	Residential	https://www.streamlineusa.com/residential/e63-st-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg	e63-st-penthouse
546	7	Versa at the Marriott Renaissance	Herald Square	18000	Construction Manager	Celano Design		Commercial	https://www.streamlineusa.com/commercial/versa-marriott/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Versa-3.jpg	versa-marriott
549	11	Gunter-Seeger	West Village	3300	General Contractor + Millwork	AWI Interiors		Commercial	https://www.streamlineusa.com/commercial/gunter-seeger/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Gunter-3.jpg	gunter-seeger
552	1	Duane Street Penthouse	Tribeca	4000	General Contractor	Dean Winters and Diana Gomez	SWA Architecture	Residential	https://www.streamlineusa.com/residential/duane-street-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3975-2-scaled.jpg	duane-street-penthouse
555	5	Indeed Corporate Office Suite	Midtown	36000	Carpentry + Millwork	Indeed corporate		Commercial	https://www.streamlineusa.com/commercial/indeed-corporate-office-suite/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Indeed-Updated-Featured.jpg	indeed-corporate-office-suite
558	24	Atrium Corporate Office	NoHo	5000	General Contractor + Millwork	Sam Ben avraham	Bang 3 Design	Commercial	https://www.streamlineusa.com/commercial/autrium-corporate-office/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11.jpg	autrium-corporate-office
561	6	KITH	NoHo	7500	General Contractor	Snarkitecture		Commercial	https://www.streamlineusa.com/commercial/kith/	http://www.streamlineusa.com/wp-content/uploads/2019/12/StreamlineUSA-RET-Kith-03-4.37x3.4.jpg	kith
564	20	Washington Sq. Dermatology	West Village	2500	General Contractor	Dr. Samer Jaber		Commercial	https://www.streamlineusa.com/commercial/upper-east-side-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/wash.jpg	upper-east-side-townhouse
567	9	Horatio St. Townhouse	Meat Packing District	3200	General Contractor + Millwork	Tersigni Palachek Design	David Bae Architect	Residential	https://www.streamlineusa.com/residential/horatio-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/tersigni-palachek-residential-west-village-02.png	horatio-st-townhouse
570	3	69th St Townhouse	Upper West Side	6000	General Contractor + Millwork	Fury Design		Residential	https://www.streamlineusa.com/residential/69th-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg	69th-st-townhouse
1835	10	Lexington Ave Townhouse	Upper East Side	4500	General Contractor	Salvatore LaRosa	B5 Studio Architects	Residential	https://www.streamlineusa.com/residential/lexington-ave-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/02/UES-8-e1595540404244.jpg	lexington-ave-townhouse
