WP ID	Sort Order	Title	Location	Size \n(Sq. Ft)	Role	Designed By	Architecture By	Category	Sub-Category	Tag-line Blurb	Long Blurb	Link	Notes
439	1	Boqueria Restaurant	Midtown	10500	General Contractor	Studio Razavi	Bill White	Commercial	Restaurants & Bars		A flagship restaurant in a brand new out of the ground AC Marriott hotel in Times Square. This 5-star restaurant was built in a new hotel that was being developed in tandem. We coordinated with the building's GC during construction and installation of the glass curtain wall storefront. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/boqueria-restaurant/	
436	2	Sugarcane Raw Bar And Grill	Brooklyn	12500	General Contractor + Millwork	CetraRuddy Design	Lawrence Jones Architecture	Commercial	Nightlife & Events		We transformed a historic rustic empty space in one of the oldest buildings standing in America, to a five star restaurant directly under the Brooklyn Bridge. Challenges: Create four full service bar locations featuring an over-sized open kitchen. Rustic metal and reclaimed wood finishes set the tone to capture the original concept of the building. Used the original iron gates to preserve the integrity of the space. Flawlessly executing the project's scope and tight timelines; challenged by a host of logistical hurdles due to working in one of New York City's busiest commercial districts. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/commercial/sugar-cane-raw-bar-and-grill/	
433	3	Grand Ole Opry City Stage	Times Square	22000	Construction Manager	Morris Nathanson Interior Design	SWA Architecture	Commercial			Our mission was to create a city stage sister venue to the biggest named country music stage in the world located in Nashville. Challenges: Bringing to life the same excitement in a new state of the art technical venue. To work on Broadway in Times Square with logistical issues that are physically unmatched. Manning the job with hundreds of men to run at a fast paced schedule. Working in conjunction with teams of specialists in another state, while coordinating activity on the site daily. Streamline's role for this project was Construction Manager.	https://www.streamlineusa.com/commercial/grand-ole-opry-city-stage/	⚠️ Site shows Designed By: Morris Nathanson Interior Design, but does NOT show SWA Architecture as the Architech
506	4	Spring Studios, Spring Place	Tribeca	15000	General Contractor	Bluarch Design	Antonio DiOronzo	Commercial			Our mission was to create an open, multifunctional, modern, and exclusive catering and event space for high profile events such as Fashion Week. Extensive hand-worked concrete finishes and precision installation of custom cut over-sized metal and glass doors were some challenges we faced. Complex imported metal ceilings required precision coordination and high levels of relentless quality control management under a tight, commercially driven time frame. Working under intense timelines can complicate the schedule. We had to work 3 shifts a day to execute the project correctly. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/spring-studios-spring-place/	
555	5	Indeed Corporate Office Suite	Midtown	36000	Carpentry + Millwork	Indeed Corporate		Commercial			Streamline gut renovated 36,000 sq ft on 3 floors in the Hippodrome building for a massive state of the art office space. Challenge: Working in an active corporate office building with quiet floors above and below, on a 12 week timeline. We created a strict project schedule starting at 5am, with quiet time from 9am-2pm, then working until midnight. Streamline performed the carpentry and millwork.	https://www.streamlineusa.com/commercial/indeed-corporate-office-suite/	⚠️ No Architect listed on site
561	6	KITH	NoHo	7500	General Contractor	Snarkitecture	Snarkitecture	Commercial	Retail & Showrooms		A 7,500 sq ft gut renovation of an old store on Broadway made super modern, full of customized millwork. Streamline worked with a renowned sports-fashion designer to build the New York City flagship store for state of the art footwear. We worked with an extremely creative designer and architect to bring in a top showroom. Challenge: Extremely high ceilings and no access below. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/kith/	
546	7	Versa at the Marriott Renaissance	Herald Square	18000	Construction Manager	Celano Design	SRAA Architecture	Commercial			Our mission was to build a mega restaurant with retractable roof Versa, in the brand new Marriott Renaissance Hotel. This included coordination of three participating design teams. A custom fabricated retractable roof was lifted in sections with a crane to the rooftop of an adjacent property for assembly before being slid into place. Large critical path items, like the retractable roof, needed to be carefully planned to coordinate with a new high rise building still under construction. Streamline's role for this project was Construction Manager.	https://www.streamlineusa.com/commercial/versa-marriott/	
491	8	Kat & Theo	Flatiron District	2300	General Contractor + Millwork	Aviva Collective	Claudia Pinto	Commercial			Executive Chef Paras Shah's fine-dining restaurant debut in the Flatiron District, where the ambiance needed to be cozy and social. Challenges: Preserve delicate existing brick work, highly-detailed coffered ceilings made with reclaimed lumber and extensive custom decorative metal work, integrating the kitchen and its mechanical requirements within the space to enhance the atmosphere without being distracting. Gained expertise through the restoration of delicate, century-old brick wall as well as sourcing, fabricating, and installing custom millwork using reclaimed lumber. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/commercial/kat-theo/	
509	9	Burger & Lobster	Bryant Park	8500	General Contractor + Millwork	MZA Architecture	Design LSM	Commercial			The client wanted us to bring an existing unusable space to life, and create a flagship establishment for this UK brand in NYC. Challenges: Concrete floors, ceilings, and non-existing utilities made the project a challenging build-out. Inserting an opening into the roof to add natural light by installing an over-sized skylight as well as incorporating reclaimed wood flooring material. Flawlessly executing the project's scope and tight timelines; challenged by a host of logistical hurdles due to working in one of New York City's busiest districts. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/commercial/burger-lobster/	
512	10	Momofuku KO	Bowery	4500	General Contractor	Richard Lewis Design	Richard Lewis Architecture	Commercial			We added an additional floor and kitchen space while increasing the seating and table areas in a very busy location. Challenges: Working around the clock, supplying new HVAC to an existing space without disrupting business in a very limited time frame. We learned to create a new look in an extension of an existing restaurant with a good flow all while making sure the neighbors are on board with adjoining spaces. We always insured schedules can be maintained, so as not to disrupt the flow of reservations. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/momofuku-ko/	
549	11	Gunter-Seeger	West Village	3300	General Contractor + Millwork	AWI Interiors	MZA Architecture	Commercial			Streamline worked with internationally acclaimed Chef Gunter Seeger's design team to create his first New York restaurant, designed to evoke the feeling of dining at home. We had an extremely tight time frame compounded by coordinating with the UK based design team and long lead time, custom kitchen appliances and fixtures. Identifying the client's vision of the desired atmosphere of the space was critical to determine framing and mechanical decisions required at the outset of the job. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/commercial/gunter-seeger/	
2850	12	Hudson Yards Mall	Hudson Yards	3500	General Contractor	Jack Mazzolla		Commercial			To simultaneously build two stores at the same time. This all happened during the last minute crunch time and launch of the new Hudson Yards Mall. Our first and larger sized project Jack's Stir Brew coffee was not easy. Tying in to building systems and working with the buildings liaisons for access and qualifications. Our second and smaller project being the Body Shop retail store. As a GC, we were lucky to have both projects kick off and finish at the same time.	https://www.streamlineusa.com/commercial/hudson-yards-mall/	⚠️ No Architect listed on site
443	13	Mint Kitchen Restaurant	West Village	4000	General Contractor	Creme	MZA Architecture	Commercial			A 4,000 sq ft gut renovation of an existing restaurant on University Place. New storefront, taboo oven and stadium seating along with lots of custom millwork. We worked in a building with time constraints and neighbors in close proximity. Building under a very tight timeline requires many look aheads to not miss the deadline. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/	
494	14	ViVVI Daycare Tribeca	Tribeca	10000	General Contractor	Eleven of Eleven Architecture	Carol Gretter	Commercial			10k sq ft state of the art Day Care center for the Tribeca neighborhood at Hudson Square. Challenges: Working within the building systems, rules and regulations throughout the course of the project. We had a fast paced schedule that proved to be doable, meeting the spring season opening date. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/vivvi-daycare-tribeca/	
2853	15	Vivvi Daycare Hudson Yards	Hudson Yards	7500	General Contractor	Eleven of Eleven Design	Carol Gretter / Eleven of Eleven	Commercial			To build out one of the most high profile storefront locations in the city. This awesome space came stubbed out and wide open ready for construction. We added a massive floor detail which included wall to wall waterproofing and a liquid membrane below the sub floor. This space, located across from the Jacob Javitz center, is the center point of Hudson Yards development. We added sona spray sound insulation to the entire ceiling and brought in all of Vivvi Day Care's signature looks and millwork creating one of the best day care's in the city.	https://www.streamlineusa.com/commercial/vivvi-daycare-hudson-yards/	
2520	16	Haus Nightclub	Lower Manhattan	5500	General Contractor	John Rawlins Design	SWA Architecture	Commercial			Located at the corner of Canal St and West Broadway, this location is in the prime zone of NYC hospitality. Canal Street has come a very long way over the years and Haus nightclub has helped take it into the direction of up. This 5500 sq foot space boasts stadium seating, a custom LED chandelier and tiger eye stone bar top. Ownership spares no expense to bring the best display of finishes they could to the customers. The front doors are part of the show. Streamline's role was GC, and we self performed the millwork and finishes.	https://www.streamlineusa.com/commercial/haus-nightclub/	
	17	Mexicue	NoHo	3500	General Contractor	Treehouse Designs	SWA Architecture	Commercial					Need copy
1931	18	Mackage SoHo	SoHo	4500	General Contractor	Burdifilek		Commercial			Full scale renovation of this SoHo retail store. New millwork, floors, cash wrap, lighting details and features throughout. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/mackage-soho/	⚠️ No Architect listed on site
2425	19	My Darling Ivy	Chelsea	1500	General Contractor	VJ Moscaritola	Studio Stigsby	Commercial			Custom built from scratch, this boutique salon will service the West side elites. A combination of hexagon tile integrated into the clear oak flooring and the blackened steel mirrors with custom millwork give it an industrial yet classy feel with super high ceilings. The electric operable door takes the location to the next level of cool! Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/my-darling-ivy/	
564	20	Washington Sq. Dermatology	West Village	2500	General Contractor	Samer Jaber	Walter Scott Architecture	Commercial			We converted an old living space into a fully functional modernized doctor's office. We incorporated existing building risers in this building which had been in place for over 100 years. Evolving design changes and modern finishes created a cutting edge doctor's office. Some Challenges: The location had strict noise level limits and restricted working hours to accommodate the building's residential tenants. The project also included the installation of all new mechanicals for seven exam rooms. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/upper-east-side-townhouse/	⚠️ Note: site slug is 'upper-east-side-townhouse' which is a mislabeled URL
503	21	Free People Retail Store	Meatpacking District	7000	Carpentry + Finishes	David Levy Design	David Levy Architecture	Commercial			A 7,000 sq ft gut renovation of a part of the old homestead steakhouse on 9th ave in meatpacking district. New staircase and elevator. We had to convert an old Homestead Steakhouse landmark building into a custom retail operation. Working on one of the busiest streets in the city was one of our challenges. Streamline performed the carpentry and finishes for this project.	https://www.streamlineusa.com/commercial/free-people-retail-store/	
2345	22	Motel 23 Lounge	Chelsea	3500	General Contractor	Colin Fuda	Atelier New York	Commercial			This iconic location has been transformed into a motel themed cocktail lounge nestled on 23rd st in the heart of Chelsea. Owner Operator Michael Cohen's vision combines stage shows and high end decor. Streamline's team of finishers created most of the millwork on site and delivered the project in record time straight through the holiday season. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/motel-23-lounge/	
2384	23	Ground Central Coffee Company	Murray Hill	550	General Contractor	Daniel O'Connor Architects	Daniel O'Connor Architects	Commercial			This multi-location retail coffee shop operation has its own look and feel that has evolved over the years. With many locations across the city, this 2nd Ave shop has an amazing design that draws in the customers. Ownership was very involved in the build-out process making sure we had their taste in mind when we installed all the finishes. We are very proud of how this little gem turned out! Streamline was the General Contractor for this project.	https://www.streamlineusa.com/commercial/ground-central-coffee-company/	
558	24	Atrium Corporate Office	NoHo	5000	General Contractor + Millwork	Sam Ben Avraham	Bang 3 Design	Commercial			Streamline created a custom blackened steel look for a fashion company's corporate office space. The owner realized his vision of creating a space that combined both new and old elements and styles. In the beginning, we decided to perform all welding onsite which allowed smooth installation of the featured custom steel windows. Keeping deliveries to a minimum enabled us to adhere to the rigorous schedule and finish the job on time and budget. Challenge: Complete work in a building with numerous restrictions and a tight schedule to the move-in date. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/commercial/autrium-corporate-office/	
	25	Bad Roman 10 Columbus Mall	Upper West Side	12500	General Contractor	Michael Stillman	GRT Architects LLP	Commercial					Not yet on site — need copy & images
	26	Ketchy Shubby	SoHo	7500	General Contractor	Dimitri Hyacinthe Interiors	RIP Consulting / Steve Salveson	Commercial					Not yet on site — need copy & images
	27	Momofuku Noodle 171 1st Ave	East Village	4200	General Contractor	Richard Lewis	Richard Lewis	Commercial					Not yet on site — need copy
552	1	Duane Street Penthouse	Tribeca	4000	General Contractor	Dean Winters & Diana Gomez	SWA Architecture	Residential			Refurbishing an existing penthouse loft and converting the space and roof-deck into the ultimate bachelor pad. Designed by owner Dean Winters and assisted by Diana Gomes interiors, every detail was carefully thought out to capture the vision. Rubber isolated sub floors and sound insulation throughout make the main floor in this mega loft ready to handle the noise of a proper NYC gathering. The Roof deck boasts a gas fire pit and outdoor shower with IPE wood surrounds on both the facade and shower enclosure as well as Nana Doors that open from end to end at the playroom and wet bar. The custom millwork is by Arte Brotto making the interiors warm and cozy. Specialty venetian plaster finishes throughout.	https://www.streamlineusa.com/residential/duane-street-penthouse/	
2306	2	E 64th St Townhouse	Lenox Hill	3800	General Contractor	Virginia Tupker Interiors	MZA Architecture	Residential			A 3800 sq foot 90% gut renovation. The clients chose to keep some of the historical features intact for this amazing build out. The door trims, the staircase, and the window moldings are all original and refurbished. All new mechanicals and windows throughout modernize the project while the millwork fits in perfectly with the style of the home. Level 5 finishing throughout and upholstered walls make this house a perfect 10. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/residential/e64-st-townhouse/	
570	3	69th St Townhouse	Upper West Side	6000	General Contractor + Millwork	Fury Design	Adi Gershoni	Residential			A 6000 sq ft gut renovation of an existing 5 story townhouse. Challenges: Adding an elevator and a higher ceiling for basement level to accommodate wine cellar and tasting room. Installation of a new elevator and underpinning the foundation in cellar, only to hit water beneath the rock. We were also tasked with adding a new staircase while the project was underway, and recreating some of the existing coffered ceiling and wainscoting in the main living room. We then maintained the consistency of the existing coffered ceiling in main living room. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/69th-st-townhouse/	
531	4	St. Lukes Place Townhouse	West Village	5500	General Contractor	Barlis Wedlick	Barlis Wedlick	Residential			A 5,500 sq ft full gut renovation of an existing 4 story townhouse. We added a penthouse extension to the house, elevator and a passive thermo rating, creating a truly elegant traditional townhouse. Working side by side with very old neighboring properties and requiring seismic monitoring during the process. We worked together with the architects and designers during the rollout of the full design package while taking into account all the details required. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/residential/st-lukes-place-townhouse/	
517	5	Hudson Street Penthouse	Tribeca	3500	Millwork + Finishes	Alex May	212Box Architecture	Residential			Streamline refurbished an existing penthouse location with millwork and intricate wall coverings. We upgraded the apartment with new doors, matching floor and trim finishes. Combining the existing structural components with modern details created a chic and refined look. Fabrications of custom millwork furniture matching decorative ceiling details and intricate wall coverings. Streamline performed the millwork and finishes.	https://www.streamlineusa.com/residential/hudson-street-penthouse/	
2842	6	Riverside Drive Apartment	Morningside Heights	2900	General Contractor	Samantha Orley Interiors	MZA Architecture	Residential			A gut renovation of a large scale pre war apartment overlooking the riverwalk park on the Hudson. This project was a full redesign of the existing space. The relocation of the bathrooms and kitchen were very difficult while moving the waste lines below the cinder filled sleeper boards under the floor. We outfitted a service closet to house the new high tech hvac unit and added many high gloss paint features throughout. This beauty keeps a lot of the original traditional taste of the apartment while modernizing every system.	https://www.streamlineusa.com/residential/riverside-drive-apartment/	
2847	7	Warren St Apt	Tribeca	2600	General Contractor	Current Interiors	Michael Tower Architecture	Residential			To remodel this newly constructed penthouse and roof-deck with custom finishes and fixtures throughout. We fabricated a full scale millwork package including kitchen, vanities, and closets. The construction brought the client, architect and designer's vision to life. On the roof, a 2000 sq foot deck with pavers, gas fire pit and a kid play area with stunning views of the west side and Hudson.	https://www.streamlineusa.com/residential/warren-st-apt/	
2504	8	12th St Townhouse	Greenwich Village	7000	Carpentry Millwork + Finishes	Elisabeth de Kergorlay	Jacobson Sonoba	Residential			A 7000 sq ft 5 floor townhouse overlooking Washington Sq Park with a stunning IPE Roofdeck and a gorgeous blue stone back yard. This project was a full gut renovation that kept all the integrity of the original house in the brick and moldings that were landmarked. Streamline performed all the carpentry, finish carpentry and assisted in the millwork and finishes throughout.	https://www.streamlineusa.com/residential/12th-st-townhouse-greenwich-village/	
567	9	Horatio St. Townhouse	Meatpacking District	3200	General Contractor + Millwork	Tersigni Palachek Design	David Bae Architect	Residential			Streamline converted a crumbling 1850's townhouse into a modern, energy efficient home with an inviting outdoor garden patio. Extensive structural and shoring work was required to rescue a structurally unstable building. We also did extensive re-framing on every floor to raise the ceiling height and installed a new wooden staircase. We worked closely with the client, and handled the evolving design after the demolition phase revealed unexpected work was required to successfully execute the finished space, especially within budgetary and time constraints. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/horatio-st-townhouse/	
1835	10	Lexington Ave Townhouse	Upper East Side	4500	General Contractor	Salvatore LaRosa	B5 Studio Architects	Residential			A 4,500 sq foot restoration and interior upgrade of a century old townhouse formerly owned by Andy Warhol. With new mechanicals and millwork throughout the 5 floor home, this build out was both challenging and rewarding when the finished product was unveiled. Many of the rooms were restored to their original state but colors changed to modernize them. This has an Eggerman kitchen and the highest grade plumbing fixtures from Waterworks. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/residential/lexington-ave-townhouse/	
537	11	West 23rd St. Townhouse	Chelsea	2200	General Contractor + Millwork	Tersigni Palachek Design	Tersigni Palachek Design	Residential			A 2,200 sq ft gut renovation and modernization of a very old townhouse with backyard and mezzanine level. We dug down to make more head space in the basement level, along with modernizing the interior. Challenges: Digging out the back yard and dealing with structural cracks in the building's facade after demolition. Post hurricane Sandy plumbing and basement work was critical to the new beautiful renovation. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/west-23rd-townhouse-2/	
2860	12	Wyckoff Townhouse	Boerum Hill	4500	General Contractor	Current Interiors	Rachel Kane & Xandro Aventajado	Residential			To gut renovate the garden floor, outfit with all new millwork and refinish all of the upper floors. The floors were sanded throughout so the colors matched on the older and new floor areas. We did a full level 5 paint job which included the stairs, moldings and doors throughout. There was installation of new recessed lighting in all the areas on the main floor as well as relocation of the AV system for the house. This classic century-old Brooklyn townhouse looks brand new!	https://www.streamlineusa.com/residential/wyckoff-townhouse/	
523	13	Madison Ave Duplex	Murray Hill	3400	General Contractor + Millwork	Lynch Eisinger Design	Christian Lynch	Residential			We created a comfortable and functional open-concept home for a young family by combining three penthouse apartments enhanced by a 5,500 sq ft roof deck. Challenges: Build new kitchen over terrace space to bring light into apartment, rebuild existing brick bulkhead with extensive structural work to support new water tower, install custom steel staircase with tight tolerances in finished stairwell. Creating an open floor plan with structural and mechanical constraints required carefully balancing the owner's budget and the design team's vision. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	
520	14	Tribeca Loft	Tribeca	2500	Millwork + Finishes	Bore		Residential			Our mission was to remodel and beautify an old loft space in Tribeca. Dealing with a very small elevator and having to carry most of the interior finishes up the stairs was a challenge. We worked with boom lifts to hoist millwork through the window to insure quality. We handled fabrications of custom millwork furniture matching decorative ceiling details and intricate wall coverings. Streamline self performed the millwork and finishes.	https://www.streamlineusa.com/residential/tribeca-loft/	⚠️ No Architect listed on site
